TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-3,CEQ0134,EPL-AR3-Line1,D1012493,1.81,6171-R&D-00000076,21192-473,21192-473,M1000226,2022-08-31,F1000227 COVID Ag,D1012492,1.3.7887.17225

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
KMANE,KMANE,2021-08-06T08:29:52.7010878+10:00,2021-08-06T08:29:57.0632074+10:00,117774189,682630989,1,True,4362,True,CE:76:7E:4D:94:41,1902,True,1,True,0,3130,2977,5913,4900,7573,3243,10255,2058,350,7341,7636,11,True,23,True,46,True,-53,CE:76:7E:4D:94:41,1260,True,3307,5132,5103,229,True,609,True,CovidHomeAg,4,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,274
KMANE,KMANE,2021-08-06T08:29:55.6279879+10:00,2021-08-06T08:29:59.9037358+10:00,101010988,682051906,2,True,4275,True,DD:D1:24:B7:10:D1,1716,True,0,True,0,3064,2867,5736,4562,7834,3136,11368,2005,3,6929,7111,51,True,17,True,35,True,-53,DD:D1:24:B7:10:D1,1408,True,3282,4957,5116,173,True,593,True,CovidHomeAg,4,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,277
KMANE,KMANE,2021-08-06T08:29:57.9998995+10:00,2021-08-06T08:30:02.8040959+10:00,101010977,682581923,3,True,4804,True,EB:BD:EB:02:5A:12,2016,True,0,True,0,3132,2970,5881,4825,8577,3248,10318,1999,340,7382,7783,57,True,17,True,35,True,-52,EB:BD:EB:02:5A:12,1312,True,3110,4809,4934,475,True,598,True,CovidHomeAg,4,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,287
KMANE,KMANE,2021-08-06T08:30:11.9186267+10:00,2021-08-06T08:30:16.1203002+10:00,134540149,682630989,1,True,4201,True,D9:C1:AE:EF:8B:1F,1777,True,0,True,0,3130,3002,5902,4900,5190,3152,9361,2026,23,7497,7437,56,True,17,True,271,True,-53,D9:C1:AE:EF:8B:1F,961,True,3307,5064,5091,232,True,596,True,CovidHomeAg,4,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,286
KMANE,KMANE,2021-08-06T08:30:15.7709558+10:00,2021-08-06T08:30:20.1896904+10:00,101010989,682051906,2,True,4418,True,CC:C2:4B:5B:A3:A4,1978,True,0,True,0,3113,2938,5913,4793,8829,3297,10795,2144,908,6084,5971,57,True,17,True,36,True,-51,CC:C2:4B:5B:A3:A4,1219,True,3253,5075,5184,225,True,594,True,CovidHomeAg,4,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,287
KMANE,KMANE,2021-08-06T08:30:19.8262818+10:00,2021-08-06T08:30:24.8781470+10:00,134540210,682581923,3,True,5051,True,C5:AF:4D:09:B4:B8,1920,True,0,True,0,3145,3023,5945,4937,12346,3227,12684,2031,251,6535,6353,6,True,17,True,48,True,-53,C5:AF:4D:09:B4:B8,1919,True,3246,4741,4918,232,True,614,True,CovidHomeAg,4,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288
KMANE,KMANE,2021-08-06T08:30:03.3253591+10:00,2021-08-06T08:30:25.3252231+10:00,101010969,682449290,4,False,21999,True,EC:08:1C:66:3F:1C,61,True,0,True,0,3149,3012,5956,4975,7264,3200,8959,2026,598,7140,7369,48,True,77,True,35,True,-52,EC:08:1C:66:3F:1C,1647,False,0,0,0,20129
KMANE,KMANE,2021-08-06T08:30:42.7892413+10:00,2021-08-06T08:30:47.5556711+10:00,134540204,682449290,4,True,4766,True,D6:8E:A9:C4:84:9B,1895,True,0,True,0,3148,3012,5913,4916,9086,3216,9508,2064,135,7002,7105,15,True,8,True,50,True,-53,D6:8E:A9:C4:84:9B,1445,True,3226,4941,5075,456,True,598,True,CovidHomeAg,4,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288
KMANE,KMANE,2021-08-06T08:31:19.8236426+10:00,2021-08-06T08:31:23.7582586+10:00,117774185,682630989,1,True,3933,True,D6:46:3F:73:4F:20,1768,True,0,True,0,3125,2978,5902,4782,10387,3184,10482,2058,131,6947,7757,15,True,17,True,50,True,-53,D6:46:3F:73:4F:20,1027,True,3341,5050,5159,178,True,589,True,CovidHomeAg,4,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,283
KMANE,KMANE,2021-08-06T08:31:22.8620793+10:00,2021-08-06T08:31:27.0931941+10:00,101010979,682051906,2,True,4231,True,CF:41:96:5B:B3:3F,1795,True,0,True,0,3131,2962,5886,4798,8059,3345,7732,2064,612,7440,7155,47,True,17,True,35,True,-52,CF:41:96:5B:B3:3F,1279,True,3207,4821,5059,156,True,606,True,CovidHomeAg,4,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288
