TS ID,TS Name,TS Location,Limits Number,Limits Version,Job Order,Programming Lot,Lot Number,Product Number,Product Expiry,Product Firmware Description,Software Number,Software Version
EQ1000004-3,CEQ0134,EPL-AR3-Line1,D1012493,1.81,6171-R&D-00000077,21192-474,21192-474,M1000226,2022-08-31,F1000227 COVID RC4,D1012492,1.3.7887.17225

Team Lead,Operator,Start,Finish,Serial,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time,Serial Test,Time,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time,Program Test,Time,Batch Test,Time,Bluetooth Test,RSSI,MAC,Time,LED Test,CurrentBase,CurrentG,CurrentR,Time,Button Test,Time,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time
SJAMESON,KMANE,2021-08-06T10:02:58.2356734+10:00,2021-08-06T10:03:12.4854918+10:00,117774108,682630989,1,True,14249,True,FE:49:56:E9:61:9D,1765,True,1,True,0,3114,2900,5983,4734,7414,3345,9564,2171,1232,6500,6905,61,True,7538,True,2316,True,-53,FE:49:56:E9:61:9D,1001,True,3317,5058,5502,332,True,612,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,614
SJAMESON,KMANE,2021-08-06T10:03:00.5867270+10:00,2021-08-06T10:03:14.7875154+10:00,117774102,682051906,2,True,14200,True,C2:E9:CE:4D:89:A8,1831,True,0,True,0,3115,2957,5876,4750,7457,3211,10678,2058,27,6750,6203,15,True,7394,True,2411,True,-52,C2:E9:CE:4D:89:A8,794,True,3321,4962,5037,482,True,626,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,642
SJAMESON,KMANE,2021-08-06T10:03:02.6080042+10:00,2021-08-06T10:03:17.2972183+10:00,101010814,682581923,3,True,14689,True,DB:A0:52:86:44:8F,1805,True,0,True,0,3139,3003,5940,4953,8044,3211,11471,2069,353,7626,7913,57,True,7460,True,2416,True,-55,DB:A0:52:86:44:8F,1422,True,3300,4828,4871,265,True,617,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,641
SJAMESON,KMANE,2021-08-06T10:03:05.2803199+10:00,2021-08-06T10:03:19.9822314+10:00,117774113,682449290,4,True,14700,True,C1:39:2B:11:25:ED,1747,True,0,True,0,3105,2915,5876,4728,7226,3173,10528,2048,428,7565,7186,51,True,7513,True,2400,True,-52,C1:39:2B:11:25:ED,1224,True,3228,4943,5068,189,True,628,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,939
SJAMESON,KMANE,2021-08-06T10:03:17.3441992+10:00,2021-08-06T10:03:32.6836308+10:00,117774105,682630989,1,True,15339,True,FA:F4:D5:2A:A0:E2,1955,True,0,True,0,3096,2867,5849,4669,7543,3179,10146,2058,431,6900,7449,57,True,7647,True,2371,True,-53,FA:F4:D5:2A:A0:E2,1640,True,3396,5005,5275,408,True,612,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,642
SJAMESON,KMANE,2021-08-06T10:03:20.6607514+10:00,2021-08-06T10:03:36.8605428+10:00,101010820,682051906,2,True,16199,True,CF:9A:7C:FB:28:B6,2164,True,0,True,0,3125,2983,5940,4868,10911,3189,6718,2058,333,6623,6710,140,True,7442,True,2412,True,-51,CF:9A:7C:FB:28:B6,1686,True,3294,4950,5159,795,True,614,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,939
SJAMESON,KMANE,2021-08-06T10:03:23.8269777+10:00,2021-08-06T10:03:38.5390864+10:00,101010882,682581923,3,True,14712,True,D8:C8:9A:B9:32:5D,1980,True,0,True,0,3064,2801,5800,4546,6995,3259,10970,2069,286,7848,7784,6,True,7424,True,2293,True,-52,D8:C8:9A:B9:32:5D,1375,True,3094,4816,5238,389,True,626,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,610
SJAMESON,KMANE,2021-08-06T10:03:27.0992682+10:00,2021-08-06T10:03:41.3829228+10:00,117774114,682449290,4,True,14283,True,E9:F2:F4:5A:0C:C6,1838,True,0,True,0,3121,2969,5892,4878,9193,3173,9536,2069,214,7386,6896,15,True,7411,True,2416,True,-52,E9:F2:F4:5A:0C:C6,971,True,3319,5004,5161,362,True,613,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,644
SJAMESON,KMANE,2021-08-06T10:03:38.0293766+10:00,2021-08-06T10:03:53.8783970+10:00,184820973,682630989,1,True,15849,True,F3:7A:07:4C:4B:5A,1992,True,0,True,0,3123,2953,5929,4798,7631,3189,7952,2042,204,6870,7066,46,True,7441,True,2402,True,-53,F3:7A:07:4C:4B:5A,2312,True,3375,5021,5464,387,True,621,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,642
SJAMESON,KMANE,2021-08-06T10:03:41.2969374+10:00,2021-08-06T10:03:55.8975599+10:00,117774127,682051906,2,True,14600,True,C8:BA:A9:A5:A0:E5,1692,True,0,True,0,3077,2838,5886,4642,6113,3206,9069,2085,549,6616,7441,54,True,7505,True,2324,True,-52,C8:BA:A9:A5:A0:E5,1644,True,3235,4977,5429,149,True,610,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,612
SJAMESON,KMANE,2021-08-06T10:03:47.9603361+10:00,2021-08-06T10:03:56.8623654+10:00,184820990,682449290,4,False,8902,True,E6:1C:40:64:B6:8B,1893,True,0,True,0,3114,2911,5870,4717,7225,3206,11078,2080,536,6698,6791,55,False,6952
SJAMESON,KMANE,2021-08-06T10:03:44.7963077+10:00,2021-08-06T10:03:59.4900911+10:00,184820952,682581923,3,True,14693,True,DC:AE:2D:B7:3A:AE,1818,True,0,True,0,3157,3018,5951,4873,6152,3243,9874,2101,422,7102,7790,54,True,7399,True,2408,True,-53,DC:AE:2D:B7:3A:AE,1569,True,3185,4825,5220,178,True,614,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,645
SJAMESON,KMANE,2021-08-06T10:03:57.4041940+10:00,2021-08-06T10:04:12.5068844+10:00,117774139,682630989,1,True,15102,True,DE:A2:D2:98:95:5B,2136,True,0,True,0,3162,3052,6004,4991,10630,3232,9140,2010,423,7523,7819,8,True,7581,True,2423,True,-53,DE:A2:D2:98:95:5B,1375,True,3262,5050,5209,311,True,616,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,645
SJAMESON,KMANE,2021-08-06T10:04:02.7278048+10:00,2021-08-06T10:04:17.3869763+10:00,101010821,682051906,2,True,14659,True,CC:B7:57:6A:19:EB,1200,True,0,True,0,3124,2995,5934,4905,7703,3211,11098,2053,333,7232,7398,8,True,7520,True,2415,True,-54,CC:B7:57:6A:19:EB,1351,True,3250,5035,5066,902,True,614,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,643
SJAMESON,KMANE,2021-08-06T10:04:08.0316809+10:00,2021-08-06T10:04:21.5627388+10:00,101010864,682581923,3,True,13531,True,E9:B8:8A:AA:79:B9,1866,True,0,True,0,3083,2867,5784,4648,10136,3163,10772,2042,160,6804,7043,15,True,7612,True,1849,True,-53,E9:B8:8A:AA:79:B9,768,True,3250,4903,5030,142,True,626,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,645
SJAMESON,KMANE,2021-08-06T10:04:13.1217324+10:00,2021-08-06T10:04:27.4236235+10:00,184820963,682449290,4,True,14301,True,C5:6F:28:21:F7:30,1887,True,0,True,0,3148,3019,5961,4905,6908,3152,11080,2037,43,7188,7492,50,True,7510,True,2377,True,-53,C5:6F:28:21:F7:30,913,True,3325,4953,5421,342,True,604,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,613
SJAMESON,KMANE,2021-08-06T10:04:17.5251909+10:00,2021-08-06T10:04:31.9637113+10:00,134540116,682630989,1,True,14438,True,FE:4F:91:74:0D:97,2016,True,0,True,0,3158,3034,6004,4969,5279,3281,9751,2096,721,6748,6718,5,True,7481,True,2407,True,-53,FE:4F:91:74:0D:97,800,True,3228,5055,5498,459,True,613,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,643
SJAMESON,KMANE,2021-08-06T10:04:21.1592497+10:00,2021-08-06T10:04:35.1582843+10:00,101010857,682051906,2,True,13999,True,F7:F7:CC:10:90:7F,1832,True,0,True,0,3136,2997,5902,4857,9106,3195,9539,2053,223,6333,6640,25,True,7480,True,2305,True,-54,F7:F7:CC:10:90:7F,712,True,3260,4938,5331,413,True,608,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,612
SJAMESON,KMANE,2021-08-06T10:04:25.2372207+10:00,2021-08-06T10:04:39.6345893+10:00,184820960,682581923,3,True,14397,True,DC:18:DB:98:56:F4,2004,True,0,True,0,3131,3004,5865,4905,7597,3163,10193,1989,1,6920,7301,57,True,7482,True,2291,True,-52,DC:18:DB:98:56:F4,925,True,3248,4935,5362,394,True,618,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,614
SJAMESON,KMANE,2021-08-06T10:04:31.9911443+10:00,2021-08-06T10:04:45.6412220+10:00,101010834,682449290,4,True,13650,True,D1:05:0A:39:01:6C,1726,True,0,True,0,3100,2917,5859,4680,6185,3120,10563,1989,205,6558,7080,49,True,7506,True,1844,True,-52,D1:05:0A:39:01:6C,1104,True,3151,4790,4932,154,True,616,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,643
SJAMESON,KMANE,2021-08-06T10:04:36.8621592+10:00,2021-08-06T10:04:51.1852240+10:00,101010907,682630989,1,True,14323,True,ED:97:2F:51:DE:23,1862,True,0,True,0,3137,2994,5918,4921,5683,3211,9588,2080,533,7551,7871,10,True,7513,True,2407,True,-53,ED:97:2F:51:DE:23,887,True,3341,4987,5078,373,True,620,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,643
SJAMESON,KMANE,2021-08-06T10:04:40.3773593+10:00,2021-08-06T10:04:54.6485519+10:00,117774095,682051906,2,True,14271,True,EE:AC:47:6F:91:FE,1840,True,0,True,0,3129,2990,5870,4862,8364,3222,7121,2053,179,7069,7469,55,True,7396,True,2363,True,-52,EE:AC:47:6F:91:FE,779,True,3291,4987,5432,601,True,611,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,614
SJAMESON,KMANE,2021-08-06T10:04:43.7347225+10:00,2021-08-06T10:04:58.6048426+10:00,101010866,682581923,3,True,14870,True,E3:36:38:93:BE:20,2010,True,0,True,0,3128,2960,5913,4814,5055,3238,10181,2031,463,6529,7114,6,True,7483,True,2481,True,-53,E3:36:38:93:BE:20,1209,True,3176,4774,4927,415,True,616,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,642
SJAMESON,KMANE,2021-08-06T10:04:49.1731364+10:00,2021-08-06T10:05:03.3651662+10:00,101010872,682449290,4,True,14192,True,E6:38:93:EF:75:2C,1662,True,0,True,0,3120,2941,5865,4782,10989,3232,11655,1999,408,7710,7896,53,True,7492,True,2390,True,-53,E6:38:93:EF:75:2C,886,True,3167,4781,4940,457,True,623,True,CovidHomeAg,4,N/A ,21192-474,Sponsored,2022-08-31,89.1.608,F1000227 COVID RC4,621
