Serial,Team Lead,Operator,Start,Finish,Host Serial,Index,Passed,Time,Firmware Test,MAC,Time.1,Serial Test,Time.2,Self-Test Test,Result,Unloaded3V3,Loaded3V3,Unloaded6V,Loaded6V,T1Freq,T1Cur,T2Freq,T2Cur,TDFreq,C1Freq,C2Freq,Time.3,Program Test,Time.4,Batch Test,Time.5,Bluetooth Test,RSSI,MAC.1,Time.6,LED Test,CurrentBase,CurrentG,CurrentR,Time.7,Button Test,Time.8,Metadata Test,Test Type,Version,Component,Batch,Sponsorship,Expiry,Firmware,Description,Time.9
16780899,KMANE,KMANE,2021-08-06T08:56:43.7482439+10:00,2021-08-06T08:56:48.5618431+10:00,682581923,3,True,4813,True,FF:12:37:FE:99:40,2077,True,8.0,True,2.0,2990.0,2860.0,5645.0,4605.0,8361.0,3152.0,8614.0,2042.0,245.0,5887.0,5466.0,16.0,True,17.0,True,35.0,True,-53.0,FF:12:37:FE:99:40,1428.0,True,3244.0,4922.0,5029.0,358.0,True,594.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,273.0
101010921,KMANE,KMANE,2021-08-06T09:20:05.5942918+10:00,2021-08-06T09:20:10.6367645+10:00,682581923,3,True,5042,True,FE:FB:9D:A5:77:C0,1871,True,0.0,True,0.0,3179.0,3074.0,6004.0,5002.0,7763.0,3184.0,9637.0,2048.0,247.0,7240.0,7103.0,53.0,True,17.0,True,35.0,True,-53.0,FE:FB:9D:A5:77:C0,1961.0,True,3225.0,4826.0,4983.0,211.0,True,596.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,293.0
101010922,KMANE,KMANE,2021-08-06T09:23:54.2390227+10:00,2021-08-06T09:23:58.5911084+10:00,682630989,1,True,4352,True,FC:65:B4:DD:9D:2B,1917,True,0.0,True,0.0,3122.0,2933.0,5849.0,4782.0,7170.0,3238.0,12366.0,2021.0,483.0,7753.0,7379.0,10.0,True,17.0,True,50.0,True,-53.0,FC:65:B4:DD:9D:2B,1033.0,True,3317.0,5033.0,5488.0,434.0,True,598.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010924,KMANE,KMANE,2021-08-06T08:52:34.2623681+10:00,2021-08-06T08:52:38.7384586+10:00,682630989,1,True,4476,True,D2:2A:42:57:EF:AB,2040,True,0.0,True,0.0,3063.0,2808.0,5774.0,4546.0,8230.0,3227.0,9047.0,1999.0,296.0,7149.0,7616.0,5.0,True,16.0,True,50.0,True,-52.0,D2:2A:42:57:EF:AB,1099.0,True,3255.0,4993.0,5161.0,364.0,True,608.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010925,KMANE,KMANE,2021-08-06T09:00:52.1916542+10:00,2021-08-06T09:00:56.2543439+10:00,682581923,3,True,4062,True,F2:70:D7:04:58:C0,1838,True,0.0,True,0.0,3123.0,2956.0,5881.0,4819.0,11840.0,3195.0,10850.0,2069.0,506.0,8057.0,7902.0,51.0,True,17.0,True,49.0,True,-53.0,F2:70:D7:04:58:C0,1023.0,True,3110.0,4788.0,5245.0,185.0,True,605.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010926,KMANE,KMANE,2021-08-06T08:35:51.2100727+10:00,2021-08-06T08:35:56.2095489+10:00,682630989,1,True,4999,True,CA:26:8A:4B:58:A9,1865,True,0.0,True,0.0,3179.0,3048.0,5999.0,5018.0,7060.0,3302.0,10547.0,2015.0,412.0,7287.0,7575.0,54.0,True,17.0,True,35.0,True,-53.0,CA:26:8A:4B:58:A9,1809.0,True,3178.0,4954.0,5082.0,340.0,True,602.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,271.0
101010927,KMANE,KMANE,2021-08-06T09:19:01.9687198+10:00,2021-08-06T09:19:05.8756150+10:00,682449290,4,True,3906,True,FA:C5:EF:DF:C6:5E,1788,True,0.0,True,0.0,3109.0,2943.0,5865.0,4750.0,6593.0,3222.0,8821.0,1989.0,116.0,7202.0,7079.0,59.0,True,17.0,True,49.0,True,-52.0,FA:C5:EF:DF:C6:5E,972.0,True,3094.0,4843.0,5125.0,145.0,True,599.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,270.0
101010929,KMANE,KMANE,2021-08-06T08:56:27.2897629+10:00,2021-08-06T08:56:31.6697744+10:00,682051906,2,True,4380,True,E2:FE:CE:E5:84:70,1891,True,0.0,True,0.0,3105.0,2914.0,5870.0,4739.0,10286.0,3248.0,12309.0,2064.0,362.0,7673.0,7975.0,53.0,True,17.0,True,50.0,True,-53.0,E2:FE:CE:E5:84:70,1276.0,True,3282.0,4884.0,5073.0,204.0,True,597.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,286.0
101010930,KMANE,KMANE,2021-08-06T08:33:23.5658859+10:00,2021-08-06T08:33:27.6958085+10:00,682449290,4,True,4129,True,ED:5A:46:6E:33:A2,1687,True,0.0,True,0.0,3119.0,2962.0,5886.0,4771.0,8414.0,3227.0,7871.0,2010.0,524.0,7466.0,7898.0,11.0,True,16.0,True,49.0,True,-53.0,ED:5A:46:6E:33:A2,1340.0,True,3251.0,4865.0,5009.0,154.0,True,593.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,271.0
101010931,KMANE,KMANE,2021-08-06T09:18:37.7960830+10:00,2021-08-06T09:18:42.2455033+10:00,682630989,1,True,4449,True,F9:5C:BD:D3:34:D4,1941,True,0.0,True,0.0,3040.0,2726.0,5768.0,4401.0,10596.0,3248.0,11657.0,2074.0,691.0,6637.0,6969.0,11.0,True,13.0,True,50.0,True,-53.0,F9:5C:BD:D3:34:D4,1168.0,True,3305.0,4957.0,5455.0,385.0,True,592.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,284.0
101010932,KMANE,KMANE,2021-08-06T09:23:49.9896990+10:00,2021-08-06T09:23:54.5649395+10:00,682449290,4,True,4575,True,E3:58:50:17:34:ED,1978,True,0.0,True,0.0,3136.0,2989.0,5945.0,4910.0,7070.0,3238.0,11091.0,2037.0,449.0,7230.0,7253.0,59.0,True,16.0,True,50.0,True,-52.0,E3:58:50:17:34:ED,1360.0,True,3276.0,4907.0,5086.0,238.0,True,593.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,274.0
101010935,KMANE,KMANE,2021-08-06T09:19:08.5825253+10:00,2021-08-06T09:19:12.4918611+10:00,682051906,2,True,3909,True,DB:9A:C8:2C:0C:6B,1752,True,0.0,True,0.0,3168.0,3052.0,5983.0,4975.0,10595.0,3232.0,10629.0,2058.0,461.0,9386.0,8546.0,10.0,True,8.0,True,45.0,True,-54.0,DB:9A:C8:2C:0C:6B,1026.0,True,3194.0,4847.0,5016.0,198.0,True,592.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
101010936,KMANE,KMANE,2021-08-06T09:19:57.2089900+10:00,2021-08-06T09:20:01.6748942+10:00,682630989,1,True,4465,True,FE:3B:E9:A9:D7:13,2030,True,0.0,True,0.0,3116.0,2965.0,5886.0,4835.0,7340.0,3270.0,11562.0,2042.0,327.0,7051.0,7588.0,7.0,True,17.0,True,50.0,True,-53.0,FE:3B:E9:A9:D7:13,1047.0,True,3221.0,4939.0,5077.0,426.0,True,594.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,287.0
101010937,KMANE,KMANE,2021-08-06T08:53:59.6566158+10:00,2021-08-06T08:54:04.4350610+10:00,682051906,2,True,4778,True,D3:D4:08:39:43:53,1675,True,0.0,True,0.0,3115.0,2927.0,5886.0,4734.0,11778.0,3179.0,10118.0,2010.0,227.0,8046.0,8436.0,48.0,True,17.0,True,35.0,True,-52.0,D3:D4:08:39:43:53,1832.0,True,3255.0,4923.0,5403.0,300.0,True,592.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,273.0
101010938,KMANE,KMANE,2021-08-06T08:56:10.0491276+10:00,2021-08-06T08:56:15.1038919+10:00,682630989,1,True,5053,True,D5:13:69:51:7D:55,1857,True,0.0,True,0.0,3133.0,2954.0,5940.0,4771.0,10498.0,3168.0,10897.0,1999.0,270.0,7449.0,8142.0,12.0,True,17.0,True,49.0,True,-53.0,D5:13:69:51:7D:55,1763.0,True,3232.0,5028.0,5135.0,479.0,True,593.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,278.0
101010939,KMANE,KMANE,2021-08-06T08:55:56.4352421+10:00,2021-08-06T08:56:01.3146434+10:00,682630989,1,True,4879,True,E8:5C:7F:1F:6C:78,1763,True,0.0,True,0.0,3137.0,2957.0,5940.0,4750.0,6381.0,3286.0,10161.0,2080.0,543.0,8198.0,7800.0,61.0,True,17.0,True,50.0,True,-53.0,E8:5C:7F:1F:6C:78,1705.0,True,3178.0,5093.0,5218.0,413.0,True,591.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
101010940,KMANE,KMANE,2021-08-06T09:22:21.5151820+10:00,2021-08-06T09:22:25.4982793+10:00,682630989,1,True,3983,True,FD:09:2A:6E:DD:B1,1836,True,0.0,True,0.0,3145.0,3000.0,5918.0,4878.0,10608.0,3248.0,10440.0,1994.0,123.0,7295.0,7447.0,61.0,True,17.0,True,50.0,True,-53.0,FD:09:2A:6E:DD:B1,957.0,True,3283.0,4968.0,5222.0,195.0,True,588.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,273.0
101010941,KMANE,KMANE,2021-08-06T09:19:33.9340668+10:00,2021-08-06T09:19:38.0317107+10:00,682051906,2,True,4097,True,EC:1F:29:47:B4:7C,1896,True,0.0,True,0.0,3153.0,3004.0,5913.0,4927.0,9056.0,3248.0,11401.0,1999.0,309.0,6905.0,7115.0,56.0,True,17.0,True,35.0,True,-54.0,EC:1F:29:47:B4:7C,991.0,True,3208.0,4915.0,5006.0,213.0,True,596.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010942,KMANE,KMANE,2021-08-06T09:19:24.2070997+10:00,2021-08-06T09:19:28.2412834+10:00,682581923,3,True,4034,True,D2:E3:FE:47:48:D7,1758,True,0.0,True,0.0,3106.0,2914.0,5918.0,4739.0,8490.0,3232.0,10126.0,2021.0,467.0,7119.0,7332.0,13.0,True,16.0,True,50.0,True,-52.0,D2:E3:FE:47:48:D7,1126.0,True,3076.0,4731.0,4995.0,201.0,True,594.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,269.0
101010943,KMANE,KMANE,2021-08-06T09:23:12.8115977+10:00,2021-08-06T09:23:16.7837052+10:00,682051906,2,True,3972,True,C9:87:29:BB:10:DF,1907,True,0.0,True,0.0,3135.0,2965.0,5892.0,4835.0,6543.0,3227.0,10615.0,2010.0,180.0,6897.0,7049.0,55.0,True,17.0,True,49.0,True,-53.0,C9:87:29:BB:10:DF,871.0,True,3187.0,4927.0,5034.0,179.0,True,595.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,288.0
101010944,KMANE,KMANE,2021-08-06T08:35:54.8748018+10:00,2021-08-06T08:35:59.8169964+10:00,682051906,2,True,4942,True,D8:2B:79:8F:08:26,1851,True,0.0,True,0.0,3091.0,2878.0,5800.0,4632.0,9929.0,3216.0,7113.0,2015.0,79.0,8371.0,8426.0,61.0,True,9.0,True,43.0,True,-53.0,D8:2B:79:8F:08:26,1816.0,True,3205.0,4891.0,5346.0,292.0,True,588.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,275.0
101010945,KMANE,KMANE,2021-08-06T08:53:00.8927501+10:00,2021-08-06T08:53:05.7413565+10:00,682449290,4,True,4848,True,E3:03:8D:73:73:EC,1797,True,0.0,True,0.0,3149.0,3012.0,5897.0,4889.0,5661.0,3195.0,7662.0,2037.0,246.0,7396.0,7847.0,11.0,True,17.0,True,35.0,True,-53.0,E3:03:8D:73:73:EC,1736.0,True,3219.0,4818.0,4993.0,388.0,True,589.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
101010946,KMANE,KMANE,2021-08-06T08:54:03.0013036+10:00,2021-08-06T08:54:07.8777173+10:00,682581923,3,True,4876,True,D5:66:5D:22:27:62,1806,True,0.0,True,0.0,3147.0,3011.0,5918.0,4900.0,6708.0,3238.0,10478.0,2026.0,329.0,7017.0,6634.0,13.0,True,17.0,True,49.0,True,-52.0,D5:66:5D:22:27:62,1853.0,True,3144.0,4814.0,4932.0,266.0,True,592.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,273.0
101010947,KMANE,KMANE,2021-08-06T08:39:51.3126797+10:00,2021-08-06T08:39:55.2482866+10:00,682051906,2,True,3935,True,C7:D3:92:77:31:06,1827,True,0.0,True,0.0,3159.0,3013.0,5945.0,4921.0,10720.0,3238.0,9543.0,2015.0,212.0,7206.0,7538.0,15.0,True,12.0,True,43.0,True,-53.0,C7:D3:92:77:31:06,962.0,True,3151.0,4834.0,5352.0,198.0,True,602.0,True,CovidHomeAg,4.0,N/A ,21192-473,Sponsored,2022-08-31,89.1.607,F1000227 COVID Ag,272.0
